RecordNumber,Company_Name,Address,Phone,FAX,Notes,Website
835,ARAG,"6300 North Forest Drive Kansas City, MO 64152-3141",800-888-4184,,,
836,Children International,"2000 E. Red Bridge Rd. Kansas City, MO 64131-3694",816-942-2000,,,
837,Clarkson Eyecare,"217 Clarkson Rd. Ellisville, MO 63011",636-227-2600,,,
838,"Commerce Bancshares, Inc.","8000 Forsyth Blvd. CBIR-1 Saint Louis, MO 63105-1707",,,,
839,Copilevitz & Canter LLC,"310 W. 20th Street Suite 300 Kansas City, MO 64108",816-472-9000,816-472-5000 fax,,
840,Edward Jones,"12555 Manchester Rd Des Peres, MO 63131-3710",314-515-2000,,,
841,Emfluence,"106 W 11th St Ste 2220 Kansas City, MO 64105-1823",816-472-4455,,,
842,Gragg Advertising,"450 E 4th St Ste 100 Kansas City, MO 64106-1171",816-931-0050,816-931-0051 fax,,
843,"Impressions Direct, Inc.","2116 59th Street St. Louis, MO 63110",314-951-2100,314-781-0140 fax,,
844,InteliSpend Prepaid Solutions,"1400 South Highway Drive Fenton St. Louis, MO 63099",636-226-2000,,,
845,Latin-Pak,"141 Chesterfield Business Parkway Chesterfield, MO 63005-1233",636-536-5344,636-536-9456 fax,,
846,Royal Canin USA,"500 FOUNTAIN LAKES BLVD STE 100 SAINT CHARLES, MO 63301-4354",800-592-6687,636-229-0422 fax,,
847,Tension Envelope Corporation,"819 E 19th St Kansas City, MO 64108-1781",816-471-3800,816-283-1498 fax,,
848,Vehicle Assurance,"2747 West Clay Saint Charles, MO 63301",636-925-7800,,,
849,1-800-DialWord,"1095 E King Street Box 10 Boone, NC 28607",800-342-5967,800-256-9200 fax,...1800DialWord.com is a provider of toll free vanity numbers like 1-800-Snoring and 1-800-Hearing. We have a large variety of vanity...,http://www.1800dialword.com
850,Advanced Direct,"4221 Tudor Ln Greensboro, NC 27410-8105",336-299-0800,336-299-2619 fax,"...Advanced Direct is a full service Direct Marketing and mail production company. ADI is headquartered in Greensboro, North Carolina...",http://www.advdirectinc.com
851,Altman Dedicated Direct,"853 Academy St. Rural Hall, NC 27045-9329",336-969-9538,336-969-0187 fax,"...""One Stop"" strategic thinking and hands-on direct response marketing implementation and guidance from 25+ year veterans who've been in the...",http://www.AltmanDedicatedDirect.com
852,"Concinnity Marketing & Technology Consulting, Inc.","201 N Broad Street Suite 105 Winston Salem, NC 27101",336-245-4561,888-470-5850 fax,...The principals of Concinnity Marketing and Technology Consulting have been experts in the field of relationship marketing for a combined...,http://www.concinnitymarketing.com
853,"Quaero, a CSG Solution","1930 Camden Road Suite 2060 Charlotte, NC 28203",704-414-0200,704 414 2195 fax,"...Quaero, a CSG Solution, uses customer intelligence to help clients shift from traditional campaign-driven marketing to real-time, multichannel customer interaction....",http://www.quaero.csgsystems.com
854,SAS,"SAS Campus Drive Cary, NC 27513",919-677-8000,919-677-4444 fax,"...SAS is the leader in business analytics software and services, and the largest independent vendor in the business intelligence market....",http://www.sas.com
855,Web Decisions,"303 Pisgah Church Rd Ste 2A Greensboro, NC 27455-2756",336-545-7817,336-545-7818 fax,"...Located at the Corner of Marketing Ave and Strategy St, Web Decisions provides database driven marketing solutions that facilitate 1-to-1 and...",http://www.Webdecisions.Com
856,AccuLink,"1055 Greenville Blvd. SW Greenville, NC 27834",252-321-5805 x209,,,
857,Billy Graham Evangelistic Association,"1 Billy Graham Parkway Charlotte, NC 28201",704-401-2491,,,
858,Boy Scouts of America - Supply Group,"2109 Westinghouse Blvd Charlotte, NC 28273-6310",704-588-4260,,,
859,C2 Knowledge Based Marketing and Communications,"417 South Wrenn St. High Point, NC 27260-6642",336-886-5063,336-886-5105 fax,,
860,Carrot-Top Industries,"328 Elizabeth Brady Road P.O. Box 820 Hillsborough, NC 27278-0820",919-732-6200,,,
861,"Clarity Group, LLC","300 Market St. Ste. 130-40 Chapel Hill, NC 27516-4493",919-932-6036,,,
862,clementDIRECT,"72109 Moseley Chapel Hill, NC 27517",919-338-2853,,,
863,Direct Marketing Solutions,"11600 N. Community House Rd Ste. 175 Charlotte, NC 28277",503-281-1400,503-249-5120 fax,,
864,"Excalibur Enterprises, Inc.","4820 Bethania Station Road Winston Salem, NC 27105",336-744-5000,336-767-8257 fax,,
865,"FJ Associates, LLC","PO Box 12771 Wilmington, NC 28405",910-452-2643,910-793-2117 fax,,
866,Hallelujah Acres,"P.O. Box 2388 Shelby,NC 28151 900 S. Post Road, Shelby, NC 28152 Shelby, NC 28151-1783",704-481-1700,704-481-0345 fax,,
867,iContact,"2635 Meridian Pkwy Durham, NC 27713",919-459-2838,,,
868,"Innovative Business Products, Inc.","2845 Lowery Street Winston Salem, NC 27101",336-723-0196,,,
869,John Deere Financial,"2000 John Deere Run Cary, NC 27513-2789",919-804-2255,,,
870,Local Government Federal Credit Union,"323 W Jones St Ste 600 Raleigh, NC 27603-1369",919-755-0534,,,
871,Lorillard Tobacco Co,"PO Box 10529 Greensboro, NC 27408",336-335-7421,336-335-7299 fax,,
872,"Modern Information Services, Inc. DBA Sir Speedy","313-B South Center Street Statesville, NC 28677",704-872-1020,,,
873,Ned Herrmann Group dba Herrmann International,"794 Buffalo Creek Rd Lake Lure, NC 28746-9903",828-625-9153,,,
874,"PHE, Inc.","PO Box 8200 Hillsborough, NC 27278-8200",919-644-8100,,,
875,Pip Printing & Document Services,"825 S. Main St. Burlington, NC 27215",336-222-0717,336-222-0773 fax,,
876,Preferred Communications,"105 Lake Road Creedmoor, NC 27522",800-300-6020,800-320-4090 fax,,
877,"Real Time Content, a Division of Randall-Reilly Publishing Co., LLC","1509 Orchard Lake Dr Charlotte, NC 28270-1473",,,,
878,Roseberry Direct List Mgmt. & Brokerage,"265 Timberline Trl Elon, NC 27244-8008",336-532-1000,336-227-5579 fax,,
879,SIPCAMADVAN,"2520 Meridian Parkway Suite 525 Durham, NC 27713",919-226-1287,,,
880,Sir Speedy Charlotte,"1522 Crossbeam Drive Charlotte, NC 28217",704-926-7586,,,
881,Sir Speedy Printing and Marketing Raliegh,"1801 St. Albans Drive Raleigh, NC 27609",919-872-9498,919-872-0120 fax,,
882,Sir Speedy Printing High Point,"117 W. Lexington Ave. High Point, NC 27262",336-889-6322,,,
883,"T.A. Cook Consultants, Inc.","9212 Falls of Neuse Road Suite 201 Raleigh, NC 27615",919-510-8142,,,
884,Technekes LLC,"1927 S Tryon suite 310 Charlotte, NC 28203",704-927-8757,704-342-2975 fax,,
885,Trinity Road LLC,"P. O. Box 7445 Charlotte, NC 28241",704-940-2240,704-940-2249 fax,,
886,Wake Forest University Baptist Medical Center,"Medical Center Blvd. Winston Salem, NC 27157-0001",336-716-4665,,,
887,Midwest TeleServices International,"112 W. Main St. PO Box 430 Mohall, ND 58761 0000",800-356-7762,701-756-6470 fax,"...MTI is a premier outsource provider of inbound and outbound contact center solutions. For more than 22 years, MTI...",http://www.mtind.com
888,ACME TOOLS,"1603 12th Ave N Grand Forks, ND 58203-2304",701-746-2881,,,
889,Flint Communications,"101 N 10th St Ste. 300 Fargo, ND 58102",701-237-4850,701-241-9680 fax,,
890,ACTON International,"5760 Cornhusker Hwy Suite 1 Lincoln, NE 68507-3121",402-742-2820,402-470-3965 fax,"...ACTON, founded in 1968, specializes in international data including list acquisition, address standardization, production services and international mailing services. ACTON...",http://www.acton.com
891,Affinitas Marketing Solutions,"1015 North 98th Street Suite 100 Omaha, NE 68114-2357",402-505-5041,402-505-5043 fax,"...Affinitas is an integrated direct marketing and customer care solutions agency. We help companies acquire, retain, and cultivate customer...",http://www.affinitas.net
892,Infogroup,"1020 E. 1st Street Papillion, NE 68046",402-593-4500,,"...Infogroup helps companies increase sales and customer loyalty through our high-value data, market intelligence and innovative digital solutions. Our comprehensive...",http://www.infogroup.com
893,TransFirst ePayment Services,"13220 Birch Drive Suite 110 Omaha, NE 68164",800-571-6199,402-399-8333 fax,"...TransFirst has been a leading provider of merchant account establishment and complete credit card, electronic check, and ACH payment processing...",http://www.transfirst.com
894,Arbor Day Foundation,"211 N 12th St Ste 501 Lincoln, NE 68508-1411",402-474-5655 x288,,,
895,Boys Town,"234 Monsky Dr Boys Town, NE 68010-",402-498-1934,,,
896,"CAS, Inc.","10303 Crown Point Ave. Omaha, NE 68134-1061",402-964-9998,402-963-2103 fax,,
897,Cole Information Services,"3401 NW 39th St Ste C Lincoln, NE 68524-2200",800-403-5894,,,
898,Compass Marketing Solutions,"13520 Discovery Drive Suite 220 Omaha, NE 68137",402-502-3206,402-438-3439 fax,,
899,"Compass Marketing Solutions, LLC","808 P Street Suite 300 Lincoln, NE 68508",402-438-3222,4024383439 fax,,
900,Direct Response,"4347 South 90th Street Omaha, NE 68127",402-339-9900,402-339-0981 fax,,
901,"Direct Tech, Inc.","13259 Millard Avenue Suite 306 Omaha, NE 68137",402-895-2100,,,
902,First Direct,"1508 J F Kennedy Dr Ste 103 Bellevue, NE 68005-6611",402-403-0000,402-403-0001 fax,,
903,First National Bank of Omaha,"1620 Dodge Street Omaha, NE 68197-0003",402-341-0500,,,
904,LDMI,"13936 Gold Circle Omaha, NE 68144",402-334-9446,402-334-9622 fax,,
905,Omaha Print,"4700 F Street Omaha, NE 68117-1405",402-734-4400,402-734-7492 fax,,
906,"Oriental Trading Company, Inc.","5455 S 90th St Omaha, NE 68127-3501",402-596-1200,,,
907,"Redfield & Co., Inc.","1901 Howard St. Omaha, NE 68102-2512",402-341-0364,402-341-2318 fax,,
908,Speedway,"P. O. Box 81906 Lincoln, NE 68501-1906",402-323-3100,,,
909,UAA Clearinghouse,"9366 G Ct Omaha, NE 68127-1229",402-991-2810,402-991-2816 fax,,
910,Choice Media,"15 Danbury Circle Amherst, NH 03031-2016",603-672-3338,603-249-9732 fax,...Specializing in Insert Media and Print MediaChoice Media offers 20+ years of experience in insert media program management and insert...,http://thedirectmarketingsearch.com/company.php?id
911,Concord Litho,"92 Old Turnpike Road Concord, NH 03301",603-225-3328,603-225-6120 fax,"...Concord Litho is one of the country's top independent printing companies, run by an experienced, responsive team of people who...",http://www.concordlitho.com
912,"NextMark, Inc.","2 Buck Road Suite 8 Hanover, NH 03755-2715",603-643-1307,603-647-1652 fax,"...NextMark indexes more than 100,000 consumer and business mailing lists and addressable media programs from industry leaders including: Infogroup, Experian,...",http://www.nextmark.com
913,PEP Direct,"19 Stoney Brook Drive Wilton, NH 03086-0900",603-654-6141 EXT 3725,,...People Engaging People is what PEP Direct is all about. We engage with our clients and embrace their missions to...,http://www.pep-direct.com
914,Polaris Direct,"300 Technology Dr Hooksett, NH 03106-2520",603-626-5800,603-626-5031 fax,...Polaris Direct is a full-service print management and lettershop company specializing in high volume direct mailings for Fortune 500 companies...,http://www.polarisdirect.net
915,Blackbaud,"195 McGregor St., #410 Manchester, NH 03102",800-443-9441,603-622-5192 fax,,
916,Dartmouth-Hitchcock,"One Medical Center Drive Hinman Box 7070 Lebanon, NH 03756-0001",603-653-0700,,,
917,Metrica Group,"26 Greggs Way 2nd Floor, Suite # 9 Tamworth, NH 03886",603-263-4393,,,
918,Rapid Insight Inc.,"53 Technology Lane Suite 112 Conway, NH 03818",888-585-6511,603-447-9947 fax,,
919,Choice Media,"15 Danbury Circle Amherst, NH 03031-2016",603-672-3338,603-249-9732 fax,,http://thedirectmarketingsearch.com/comp
920,Concord Litho,"92 Old Turnpike Road Concord, NH 03301",603-225-3328,603-225-6120 fax,,http://www.concordlitho.com
921,"NextMark, Inc.","2 Buck Road Suite 8 Hanover, NH 03755-2715",603-643-1307,603-647-1652 fax,,http://www.nextmark.com
922,PEP Direct,"19 Stoney Brook Drive Wilton, NH 03086-0900",603-654-6141 EXT 3725,,,http://www.pep-direct.com
923,Polaris Direct,"300 Technology Dr Hooksett, NH 03106-2520",603-626-5800,603-626-5031 fax,,http://www.polarisdirect.net
924,"ALC, Inc.","4300 US Highway 1 CN 5219 Princeton, NJ 08543",609-580-2800,609-580-2888 fax,...A new name. A new address. A new chapter. Cause? Or effect? Action? Or reaction? Every step a...,http://www.alc.com
925,Commerce Register Inc,"190 Godwin Ave Midland Park, NJ 07432-1841",201-445-3000,201-445-5806 fax,...Commerce Register Incorporated (CRI) is a data processing service bureau specializing in providing both standard and custom solutions to the...,http://www.comreg.com
926,D2: Direct,"54 Cedar Lake West Bldg#2 Denville, NJ 07834-1704",973-627-4410 EXT 201,973-627-3703 fax,"...D2: Direct, a direct response advertising agency, is constantly building on the measurable success we've had over the last 20...",http://www.d2direct.com
927,DataBridge Marketing Systems Corporation,"304 Fern Street Township of Washington, NJ 07676",201-664-3883,501-635-4030 fax,"...Full Data Processing and Database Marketing Services with a highly experienced team of technology/marketing professionals at your service! At DataBridge, Merge/Purge...",http://www.Data-Bridge.org
928,DialAmerica,"960 Macarthur Blvd. Mahwah, NJ 07495-0094",800-913-3331,201-327-4875 fax,"...DialAmerica has been in the telemarketing business since 1957, longer than any other telemarketer in business today. We provide...",http://www.dialamerica.com/corporate/l_dma.htm
929,Donna Baier Stein,"211 Dryden Road Bernardsville, NJ 07924",908-432-2149,908-842-0333 fax,...Internationally-known copywriter who has helped client organizations make millions of dollars. You can get revenue-generating copy from scratch or...,http://www.writesontarget.com
930,Eclipse Marketing Services,"490 Headquarters Plaza North Tower, 10th Floor Morristown, NJ 07960",973-695-0305,973-695-0209 fax,...Eclipse Marketing Services provides creative direct marketing solutions for the cable TV and entertainment industrieswith exceptional service. WE KNOW...,http://WWW.eclipsemarketingservices.com
931,Ethnic Technologies LLC,"600 Huyler St # 6 South Hackensack, NJ 07606-1734",201-440-8900,201-440-2168 fax,"...The EthniCenter® is the result of over 30 years of continuous ethnic, religious and language preference research that enables you...",http://www.ethnictechnologies.com
932,"iMarketing LTD, Inc.","20 Nassau Street Suite 250E Princeton, NJ 08542-4509",609-921-0400,609-921-0491 fax,"...iMarketing's services are anchored in a deep and thorough understanding of your business, your industry, and the competitive space you...",http://www.imarketingltd.com
933,iPacesetters,"135 Chestnut Ridge Road Montvale, NJ 07645",201-391-1500 ext 541,,"...iPacesetters is a leading provider of audience and customer engagement solutions to blue-chip media, publishing and cable telecommunications companies. Our...",http://www.ipacesetters.com
934,"List Service Direct, Inc.","2 Christie Heights St. Leonia, NJ 07605",201-585-1447,201-585-1732 fax,"...List Service Direct, Inc. is a full range list services firm, providing accurate data for all your clients needs. ...",http://www.listservicedirect.com
935,"Marketsmith, Inc.","14 Walsh Drive Parsippany, NJ 07054",973-889-0006,973-889-5429 fax,"...Marketsmith is a Chief Revenue Driver delivering improved measurable returns on investment across all marketing touchpoints DRTV, email, paid...",http://www.marketsmithinc.com
936,ORC International,"902 Carnegie Center Suite 220 Princeton, NJ 08540-6530",212-645-4500,212-645-7681 fax,"...ORC International is a leading global research firm with offices across the U.S., Europe and Asia Pacific. We offer a...",http://www.orcinternational.com
937,The Hibbert Group,"400 Pennington Ave. PO Box 8116 Trenton, NJ 08650-0116",609-394-7500,609-396-7842 fax,...The Hibbert Group is a comprehensive marketing services firm employing advanced technological solutions to meet the needs of our clients....,http://www.hibbertgroup.com
938,"(C) Systems, LLC","510 Thornall Street, Ste 310 Edison, NJ 08837-2207",732-548-6100,732-548-3883 fax,,
939,A&E Promotions LLC,"153rd 1st Ave Atlantic Highlands, NJ 07716-1238",732-275-1520,732-275-1147 fax,,
940,Ac Pedreiro,"15 Diane Dr Morganville, NJ 07751-1370",732-598-6766,,,
941,ADP Business Solutions,"1 ADP Blvd Roseland, NJ 07068",973-974-5000,,,
942,Applied Info Group,"100 Market Street Kenilworth, NJ 07033-1722",908-241-7007,908-241-7088 fax,,
943,Beacon Marketing Group,"707 White Horse Pike Ste. B2 Absecon, NJ 08205",609-677-1776,609-677-1777 fax,,
944,Borelli Direct Marketing Inc.,"3530 State Route 27 Suite 207 Kendall Park, NJ 08824",732-940-1500,732-940-1501 fax,,
945,"Business Development Solutions, Inc.","139 Gaither Dr. Ste. H Mount Laurel, NJ 08054-1713",856-787-1500,856-787-1510 fax,,
946,Conrad Direct Inc,"300 Knickerbocker Rd # 3100 Cresskill, NJ 07626-1346",201-567-3200,201-567-1530 fax,,
947,Consumer Marketing Directives,"140 Prospect Avenue Suite 3-C Hackensack, NJ 07601",201-394-8843,,,
948,"Cornwell Data Services, Inc","352 Evelyn Street Paramus, NJ 07652",201-261-1050,201-261-7569 fax,,
949,Createch Marketing,"180 Summit Avenue Suite 203 Montvale, NJ 07645-1722",201-326-3000,201-326-0299 fax,,
950,CUnet,"461 From Rd Suite 200 Paramus, NJ 07652",201-477-7793,,,
951,D & B,"3 Sylvan Way Parsippany, NJ 07054-3821",973-921-5500,,,
952,"Data Direct Solutions, Inc.","225 Division Avenue Hasbrouck Heights, NJ 07604",201-203-3083,,,
953,Dataline,"5 Vaughn Drive Suite 307 Princeton, NJ 08540",609-452-6014,609-951-0025 fax,,
954,Dentino Marketing,"239 Washington St. 3rd Fl. Jersey City, NJ 07302-3828",609-454-3202,201-332-4262 fax,,
955,Direct Link,"700 Dowd Avenue Elizabeth, NJ 07201",908-289-0703,908-289-0705 fax,,
956,"Direct Mail Depot, Inc.","200 Circle Dr. N. Piscataway, NJ 08854-3705",732-469-5900 EXT 205,732-469-8414 fax,,
957,Discovery Company,"12 Christopher Way Suite 202 Eatontown, NJ 07724",732-933-1899,732-530-6797 fax,,
958,Dow Jones & Company,"PO Box 300 Princeton, NJ 08543-0300",609-520-4000,,,
959,ds&a consulting,"21 foote Ln morris plains, NJ 07950-3307",973-530-4198,973-530-4199 fax,,
960,EasyLink Svc Corp,"33 Knightsbridge Rd Piscataway, NJ 08854-3925",732-652-3500,732-652-3810 fax,,
961,Education Dynamics,"5 Marine View Plz Hoboken, NJ 07030-5756",201-377-3000,201-377-3091 fax,,
962,Educational Testing Service,"666 Rosedale Road M/S 40-L Princeton, NJ 08541-0001",609-683-2292,,,
963,ELJ Marketing,"706 Heights Ln Tenafly, NJ 07670",201-788-9862,,,
964,EXL,"10 Exchange Pl Jersey City, NJ 07302-3918",201-748-4729,,,
965,Focus USA,"1 University Plaza Ste. 300 Hackensack, NJ 07601",201-489-2525,201-489-4499 fax,,
966,Fractal Analytics Inc,"Plaza 5 Harborside Financial Cntr, 2500 Jersey City, NJ 07311",201-633-8728,201-484-7201 fax,,
967,Functional Health Concepts,"180 Forest Rd Glen Rock, NJ 07452",917-576-0564,,,
968,Global DM Solutions,"416 Main Street Boonton, NJ 07005",973-402-2205 EXT 115,973-402-2305 fax,,
969,Grayhair Software,"124 Gaither Drive, Suite 160 Mt. Laurel, NJ 08054",856-727-9372,856-727-1315 fax,,
970,"Hanover Direct, Inc.","1500 Harbor Blvd Weehawken, NJ 07086-6768",201-863-7300,,,
971,Hatteras Press Inc,"2260 Landmark Pl Manasquan, NJ 08736-1025",732-223-9888,,,
972,Healthfest,"100 Nixon Ln Edison, NJ 08837-3804",732-225-0100,,,
973,Hospitaller Brothers of St. John of God,"1145 Delsea Dr Development Office - Bldg. C Westville, NJ 08093-2252",856-845-7030,,,
974,"Information Refinery, Inc.","200 Route 17 Suite 5 Mahwah, NJ 07430",201-529-2600,201-529-4030 fax,,
975,Institute of Management Accountants,"10 Paragon Dr Montvale, NJ 07645-1759",201-573-9000,,,
976,Judith Kennerk,"11 Scott Avenue Princeton Junction, NJ 08550",609-240-2876,,,
977,Kroll Direct Marketing,"101 Morgan Lane Suite 120 Plainsboro, NJ 08536-3345",609-275-2900,609-275-6606 fax,,
978,LargieDM,"500 Broad Street Riverton, NJ 08077",609-744-0099,,,
979,LS Advertising,"10 Industrial Ave Ste. 5 Mahwah, NJ 07430-2284",845-357-1238,845-357-1238 fax,,
980,MDE Marketing,"55 Lehman St Mahwah, NJ 07430-3050",201-891-7010,,,
981,"MedAvante, Inc.","100 American Metro Blvd Suite 106 Hamilton, NJ  08619",609-528-9400,609-528-9405 fax,,
982,"Media Directions, Inc.","50 Tice Blvd. Woodcliff Lake, NJ 07677-7654",201-930-4949,201-930-2929 fax,,
983,Monmouth University,"400 Cedar Ave West Long Branch, NJ 07764",732-923-4695,,,
984,Multiple Sclerosis Association of America,"706 Haddonfield Rd Cherry Hill, NJ 08002-2652",856-488-4500,,,
985,Myron Corp.,"205 Maywood Ave. Maywood, NJ 07607-1000",201-843-6464,,,
986,Net 60 LLC,"1420 Queen Anne Road Suite #7 Teaneck, NJ 07666-3509",201-833-9003,201-336-9088 fax,,
987,New York Daily News,"125 Theodore Conrad Dr Jersey City, NJ 07305-4615",212-681-3456,,,
988,Nok Brands,"50 Forest Ave Glen Ridge, NJ 07028-2412",973-632-7630,,,
989,OSG Billing Services,"100 West Forest Avenue Englewood, NJ 07631",201-871-1100,201-221-8653 fax,,
990,Profile America List Co. Inc.,"455 Sylvan Avenue Englewood Cliffs, NJ 07632-2703",201-569-7272,201-569-5552 fax,,
991,Prudent Publishing Company,"65 Challenger Rd. Ridgefield Park, NJ 07660-2111",201-641-7900,,,
992,Prudential Financial,"751 Broad St Newark, NJ 07102-3714",973-802-2195,,,
993,"Raritan Americas, Inc.","400 Cottontail Lane Somerset, NJ 08873",732-764-8886,732-764-8887 fax,,
994,Red Pill Email,"PO Box 208 Montvale, NJ 07645",201-855-6245,,,
995,RPM Direct (New Jersey),"24 Arnett Avenue, Suite 100 Lambertville, NJ 08530-1500",609-566-7150,609-566-7155 fax,,
996,Saveology.com,"901 Hadley Rd South Plainfield, NJ 07080-2424",866-755-9008,,,
997,Specialists Marketing Svc,"777 Terrace Ave Suite 401 Hasbrouck Heights, NJ 07604",201-865-5800,201-288-4295 fax,,
998,Suburban Propane,"240 Route 10 West P.O. Box 206 Whippany, NJ 07981-0206",973-503-9146,,,
999,SureWay Marketing Services,"338 Wall St Princeton, NJ 08540-1518",609-430-4333,609-430-4330 fax,,
1000,Swiss Post International,"17B South Middlesex Avenue Monroe, NJ 08831",609-840-6461,,,
1001,Symrise,"300 North St Teterboro, NJ 07608-1204",201-462-2389,,,
1002,"The Fidelis Group, Inc.","223 Gates Road Unit A Little Ferry, NJ 07643",201-641-4701,201-641-4708 fax,,
1003,The Magna Group,"17-17 Route 208 North Fair Lawn, NJ 07410",201-652-8600,,,
1004,Theorem Inc.,"383 Main Street, Suite 101 Chatham, NJ 07928",973-665-1700,,,
1005,Thinkalytics,"440 Millburn Avenue Millburn, NJ 07041",973-671-1590,,,
1006,Treecycler,"77 E. Halsey Rd Parsippany, NJ 07054",917-450-3011,,,
1007,Trinity Direct,"10 Park Place Suite 5 Butler, NJ 07405-1371",973-283-3600,973-283-3606 fax,,
1008,United Retail Incorporated,"365 West Passaic Stee Rochelle Park, NJ 07662-3017",201-909-2219,,,
1009,United States Golf Association,"77 Liberty Corner Rd Far Hills, NJ 07931-2570",908-234-2300,,,
1010,V12 Group,"141 West Front Street Suite 410 Red Bank, NJ 07701",732-842-1001,732-842-5999 fax,,
1011,"Vision Marketing, Inc","429 Sylvan Ave. Englewood Cliffs, NJ 07632-2703",201-816-1560,201-816-1610 fax,,
1012,Wedgewood Pharmacy,"405 Heron Dr Ste 200 Swedesboro, NJ 08085-1749",856-832-1303,,,
1013,Weichert Co.,"1625 State Route 10 Morris Plains, NJ 07950-2905",973-397-8516,,,
1014,Wyndham Hotel Group,"1 Sylvan Way Parsippany, NJ 07054",973-753-6575,214-863-2769 fax,,
1015,Xypress LLC,"1200 US 22 East Suite 2000 2nd Bridgewater, NJ 08807",908-319-8600,,,
1016,"ClingZ, Inc.","541 Laser Rd. NE Rio Rancho, NM 87124",614-933-8722,614-933-8722 fax,"...ClingZ® is a patented electrically charged printable plastic film. It is the only printable media that clings to most clean,...",http://www.clingz.com
1017,Deborah Hoffman Copywriting,"306 Sagebrush Drive Corrales, NM 87048",505-440-8725,,,
1018,Santa Fe Natural Tobacco Company,"P. O. Box 25140 Santa Fe, NM 87504-5140",505-982-4257,,,
1019,"ClingZ, Inc.","541 Laser Rd. NE Rio Rancho, NM 87124",614-933-8722,614-933-8722 fax,,http://www.clingz.com
1020,Western Mailing,"530 East Pamalyn Ave Ste C Las Vegas, NV 89119",702-896-7363,702-896 -8972 fax,"...About Us With diverse experience in various types of direct mail marketing campaigns, we are able to partner with our clients to...",http://www.westernmailing.com/
1021,"Collins List Exchange, Inc.","2312 N. Greenvalley Pkwy. #2922 Henderson, NV 89014-3118",702-369-6015,702-920-8115 fax,,
1022,Creel Printing Company,"6330 West Sunset Road Las Vegas, NV 89118",702-735-8161,702-735-3072 fax,,
1023,Employers Insurance Company,"2550 Paseo Verde Parkway Ste. 100 Henderson, NV 89074",702-837-3101,702-671-7856 fax,,
1024,Firebrand Group,"7251 Wst Lake Mead Blvd, Suite 300 Las Vegas, NV 89128",877-776-4771,,,
1025,"Grassroots Campaign Creations, Ltd.","375 North Stephanie Street Suite 1411 Henderson, NV 89014",949-240-3000,202-280-1051 fax,,
1026,"Grassroots Campaign Creations, Ltd., a Nevada Corporation","375 North Stephanie Street Suite 1411 Henderson, NV 89014",800-362-2723,,,
1027,LeadFerret Inc.,"2961 Industrial Rd. #221 Las Vegas, NV 89109",818-392-4303,,,
1028,LivOn Labs,"2534 Anthem Village Drive #100 Henderson, NV 89052",702-255-0265,,,
1029,Price Target Media,"2513 Merrit Drive Carson City, NV 89701",775-434-4451,,,
1030,"Red Rock Marketing Group, LLC","1930 Village Center Circle Suite 3-516 Las Vegas, NV 89134-6092",702-944-9604,702-463-9467 fax,,
1031,Rio Las Vegas,"3700 W. Flamingo Blvd. Las Vegas, NV 89103",702-407-6000,,,
1032,SilverState Marketing Solutions,"3585 East Patrick Lane #200 Las Vegas, NV 89120",702-489-2124,,,
1033,VastCast Media,"8360 W Sahara Ave Ste 240 Las Vegas, NV 89117-8945",702-221-8261,,,
1034,Vitamin Research Products,"4610 Arrowhead Dr Carson City, NV 89706-2017",775-884-8205,,,
1035,"Adrea Rubin Marketing, Inc.","19 West 44th St Suite 1415 New York, NY 10036",212-983-0020,212-983-1057 fax,...Adrea Rubin Marketing is a 20+-year customer insight agency that specializes in audience identification utilizing online and offline marketing/data strategies...,http://www.adrearubin.com
1036,"AIA New Dimensions in Mktg., Inc.","124 S. Central Avenue Elmsford, NY 10523",914-347-4872,,"...Promotional products, advertising specialties and business gifts. Shop our mall of products that can be imprinted with your company name...",http://www.effectivepromos.com
1037,"alert Marketing, Inc., A JMI Company","100 Avenue Of The Americas New York, NY 10013-1689",630-790-0386,1 630- 790-0388 fax,...Provides the best media for delivery of Health Care Information & Education to Professionals and Consumers M.D./alert - target physicians...,http://www.alertmarketing.com
1038,Alliant,"301 Fields Lane Brewster, NY 10509-2621",845-276-2600 EXT 217,845-276-2605 fax,...Alliant delivers predictive consumer segmentation solutions that dramatically increase profitability in direct and interactive marketing campaigns. Alliant adds value with...,http://www.alliantdata.com
1039,Alloy Media + Marketing,"151 West 26th Street 9th Floor New York, NY 10001-6810",212-401-0066,312-429-3342 fax,"...As the leader in youth marketing, Alloy Media + Marketing connects your brand to consumers with unique insights, high mass...",http://www.alloydirectmarketing.com
1040,American Student List,"2 Dubon Court Farmingdale, NY 11735",516-248-6100,516-248-6364 fax,...American Student List has been the leading provider of quality youth marketing lists for more than 35 years. Over 100...,http://www.studentlist.com
1041,"Analytic Recruiting, Inc.","144 E 44th 3rd Fl. New York, NY 10017-6221",212-545-8511,212-545-8520 fax,...Analytic Recruiting has been in business since 1980. We specialize in recruitment of database marketing professionals. The experienced recruiters for...,http://www.analyticrecruiting.com
1042,"Anchor Computer, Inc.","1900 New Hwy. Farmingdale, NY 11735-1509",631-293-6100,631-293-0891 fax,"...Anchor Computer Inc provides data processing services to direct marketing professionals in a variety of industries including: Direct Marketing, Retail,...",http://www.anchorcomputer.com
